crop_id,name_ko,name_en,category,category_order,has_scenarios,kc_ini,kc_mid,kc_end,kc_ini_2,kc_mid_2,kc_end_2,kc_ini_3,kc_mid_3,kc_end_3,kc_ini_4,kc_mid_4,kc_end_4,L_ini,L_dev,L_mid,L_late,h_m,zr,p,note
apple,사과,Apple,과수,1,1,0.45,0.95,0.70,0.60,0.95,0.75,0.50,1.20,0.95,0.80,1.20,0.85,20,70,90,30,3.2,1.0,0.5,FAO-56 Table12 Apples/Cherries/Pears 4시나리오. 한국 사과원 대개 3번(초생재배·서리).
pear,배,Pear,과수,1,1,0.45,0.95,0.70,0.60,0.95,0.75,0.50,1.20,0.95,0.80,1.20,0.85,20,70,90,30,4.0,1.0,0.5,사과와 동일 시나리오 표.
cherry,체리,Cherry,과수,1,1,0.45,0.95,0.70,0.60,0.95,0.75,0.50,1.20,0.95,0.80,1.20,0.85,20,70,90,30,3.5,1.0,0.5,사과와 동일 시나리오 표.
citrus,감귤,Citrus,과수,1,0,0.70,0.65,0.70,,,,,,,,,,60,90,120,95,3.5,1.2,0.5,캐노피 피복률 70% 기준(FAO-56 Table12). 20%/50% 조건은 별도값 필요.
almond,아몬드,Almond,과수,1,0,0.40,0.90,0.65,,,,,,,,,,20,70,90,30,5.0,1.0,0.4,잎이 빨리 지므로 Kc_end가 낮음.
olive,올리브,Olive,과수,1,0,0.65,0.70,0.70,,,,,,,,,,30,90,60,90,3.5,1.2,0.65,캐노피 피복률 40~60% 기준.
grape,포도,Grape,포도베리,2,0,0.30,0.85,0.45,,,,,,,,,,20,50,75,60,2.0,1.0,0.45,와인용 포도. 식용은 Kc_mid 0.85 대신 다른 값.
strawberry,딸기,Strawberry,포도베리,2,0,0.40,0.85,0.75,,,,,,,,,,,,,,,0.2,0.2,0.2
blueberry,블루베리,Blueberry,포도베리,2,0,0.30,1.05,0.50,,,,,,,,,,,,,,,0.6,0.5,1.5
tomato,토마토,Tomato,가지과,3,0,0.60,1.15,0.70,0.60,1.15,0.80,,,,,,,,30,40,40,25,0.7,0.4,0.6
pepper,고추,Pepper,가지과,3,0,0.60,1.15,0.90,,,,,,,,,,30,40,110,30,0.7,0.5,0.3,신선/건조.
eggplant,가지,Eggplant,가지과,3,0,0.60,1.15,0.90,,,,,,,,,,30,40,40,20,0.8,0.7,0.45,
cucumber,오이,Cucumber,박과,4,0,0.60,1.05,0.75,,,,,,,,,,20,30,40,15,0.3,0.7,0.5,신선 시장 기준. 가공용은 Kc_end 0.50.
watermelon,수박,Watermelon,박과,4,0,0.40,1.00,0.75,,,,,,,,,,20,30,30,30,0.4,0.8,0.4,
melon,멜론,Melon,박과,4,0,0.50,1.05,0.75,,,,,,,,,,25,35,40,20,0.4,0.8,0.4,
pumpkin,호박,Pumpkin,박과,4,0,0.50,1.00,0.80,,,,,,,,,,20,30,30,20,0.4,1.0,0.35,겨울호박(winter squash) 기준.
cabbage,양배추,Cabbage,소채류,5,0,0.70,1.05,0.95,,,,,,,,,,40,60,50,15,0.4,0.5,0.45,FAO-56 Table12 Cabbage. 한국 김치배추는 실측 검증 권장.
kimchi_cabbage,김치배추,Kimchi Cabbage,소채류,5,0,0.70,1.05,0.95,,,,,,,,,,25,30,25,10,0.4,0.5,0.45,양배추 값 임시 적용. 태백 실측 데이터로 보정 예정.
broccoli,브로콜리,Broccoli,소채류,5,0,0.70,1.05,0.95,,,,,,,,,,35,45,40,15,0.4,0.4,0.45,
lettuce,상추,Lettuce,소채류,5,0,0.70,1.00,0.95,,,,,,,,,,20,30,15,10,0.3,0.3,0.3,
spinach,시금치,Spinach,소채류,5,0,0.70,1.00,0.95,,,,,,,,,,20,20,15,5,0.3,0.3,0.2,
onion,양파,Onion,소채류,5,0,0.70,1.05,0.75,,,,,,,,,,15,25,70,40,0.4,0.3,0.3,건조 저장용. 신선용은 다름.
potato,감자,Potato,근채류,6,0,0.50,1.15,0.75,,,,,,,,,,25,30,45,30,0.6,0.4,0.35,
sweet_potato,고구마,Sweet Potato,근채류,6,0,0.50,1.15,0.65,,,,,,,,,,20,30,60,40,0.4,1.0,0.65,
radish,무,Radish,근채류,6,0,0.70,0.90,0.85,,,,,,,,,,5,10,15,5,0.3,0.3,0.3,단기간 재배.
